country_code,country_name,year,value,valid_n
AUS,Australia,2018,8.9,1813
CAN,Canada,2020,8.8,4018
GBR,United Kingdom,2022,4.7,2585
NZL,New Zealand,2020,4.7,1057
KOR,South Korea,2018,22,1245
NLD,Netherlands,2022,20.9,2057
USA,United States,2017,8.5,2436
DEU,Germany,2018,3.9,1523
JPN,Japan,2019,30.1,1311
